Index,Temperature,Humidity,Object(*C),CO2Analog(ppm),CO2PWM(ppm),Xbar_Humidity,Xbar_co2analog,SD_Humidity,SD_co2analog,isGood
38,41.41,17.16,41.29,615,581,18.9521052631579,599.7894736842105,2.814248624702043,19.02798800413171,1
39,41.11,17.63,40.71,584,562,21.64950000000001,570.7,4.018488161642728,16.68626917400557,1
40,36.88,31.31,36.93,596,557,30.914,598.9,2.258202359120379,20.10472581260436,1
41,32.04,28.46,31.57,581,573,24.62315789473685,621.5263157894736,1.775900562254977,16.65122091303628,1
42,32.98,23.7,32.53,628,593,22.66549999999999,622.9,0.9278014476792917,6.703494768049211,1
43,33.93,22.62,33.25,628,598,26.32157894736843,640.3684210526316,2.2475375739237,15.01558644400244,1
44,31.42,28.44,30.91,646,623,31.32157894736843,657.7894736842105,2.770114845509107,16.0436174480294,1
45,31.27,30.88,30.67,668,643,34.6345,667.5,2.240167933084718,10.15407618436531,1
46,29.6,34.1,28.63,696,659,35.308,674.5,2.396478996141499,14.67005542988129,1
47,28.0,35.96,27.37,668,634,36.4978947368421,683.0526315789474,2.722869358573717,13.12958357726096,1
48,28.95,36.39,28.99,687,659,37.42166666666666,692.1666666666666,2.751618240449876,8.906375773105731,1
49,27.92,37.79,27.93,703,669,39.154,697.1,2.640630706160138,12.75229597490503,1
50,26.14,43.49,25.75,693,669,40.851,693.2,3.382134019567497,16.15582019941388,1
51,26.02,44.29,25.75,687,669,43.30473684210526,706.7368421052631,3.174408726083318,10.27316950584903,1
52,25.83,44.18,25.67,709,684,47.13736842105263,726.5263157894736,3.918868660589095,18.40099158274005,1
53,27.54,41.19,26.79,709,694,63.423,719.15,8.60913168798416,18.06501416667325,1
54,25.88,72.19,25.49,753,699,77.40684210526314,715.4736842105264,3.066000022888271,14.08454007079564,1
55,28.4,80.96,28.05,709,684,72.711,709.15,5.079977103139446,12.52481746899247,1
56,30.23,72.23,29.69,728,679,67.44842105263157,677.3684210526316,3.491811473779914,22.92308522553868,1
57,32.0,62.27,31.69,662,618,53.67473684210527,649.6315789473684,6.363707312583855,12.10697928338944,1
58,33.43,44.72,32.97,628,613,49.17368421052631,638.0,3.072832950093657,15.46681034416024,1
59,34.75,46.65,34.39,628,613,31.01947368421053,622.7894736842105,9.734840907040027,15.65807901999767,1
60,37.67,24.79,37.43,612,578,22.2,598.95,3.451901078048385,16.07376090010313,1
61,39.48,23.73,39.99,596,567,17.32388888888889,602.9444444444445,2.274785416871343,13.6574574423957,1
62,41.16,15.31,41.07,621,562,16.03578947368421,587.1052631578947,2.425171965928906,19.22063340626452,1
63,43.0,13.07,42.89,584,562,16.50631578947369,578.2631578947369,2.353791764900748,19.85738626994208,1
64,36.95,17.72,36.31,575,543,20.927,590.0,2.609468790466991,24.78327109797634,1
65,33.58,27.05,33.21,621,603,24.2678947368421,628.2631578947369,1.941813525053802,13.88381193758143,1
66,33.29,21.18,32.71,628,593,21.4935,627.2,1.553286075254313,9.93452247680306,1
67,34.69,20.88,34.93,656,603,22.28,634.5,0.8940171512150464,13.76993504382323,1
68,32.58,25.1,32.03,662,623,28.47166666666667,669.6666666666666,2.535422577610846,19.50867077209817,1
69,29.65,33.52,29.65,693,649,32.07,688.5555555555555,1.983004256766218,15.97137963108577,1
70,28.94,37.03,28.83,703,684,33.266,698.95,2.439032163530617,9.400307945683707,1
71,28.51,34.6,28.47,693,669,34.23842105263159,699.2105263157895,2.935353969111155,7.927301259770432,1
72,27.61,34.74,27.69,709,674,34.306,708.4,2.442518975846129,15.4115472770804,1
73,27.37,36.35,27.37,734,694,35.242,714.55,2.17525461304624,12.83693273742848,1
74,25.9,39.16,25.75,728,699,38.22789473684211,723.6842105263158,2.521165028199305,22.5340548000353,1
75,26.98,38.82,27.15,709,684,38.85315789473685,719.5263157894736,2.47388595046466,10.4794424207728,1
76,27.25,37.71,27.47,712,684,41.6665,738.1,3.686697673642648,17.74645998798812,1
77,24.43,58.97,24.09,728,714,60.45100000000001,753.4,9.048569471119812,18.63330351816338,1
78,26.09,63.52,26.05,737,719,67.67894736842106,775.6842105263158,6.145594532975855,19.16609457574885,1
79,26.54,70.91,26.05,784,754,66.67052631578946,772.2105263157895,2.747862752686594,15.7817720008046,1
80,29.19,65.4,28.71,734,724,62.64200000000001,712.25,3.790082071045844,19.19121235302625,1
81,30.94,57.51,30.51,696,683,54.06736842105262,679.3684210526316,5.045344214780001,18.57480529676867,1
82,33.12,47.01,32.53,662,638,47.54526315789474,647.3684210526316,6.076719115170451,15.99378534277121,1
83,34.54,46.3,34.09,653,623,42.425,631.95,5.806827651000171,20.7680802650302,1
84,35.66,36.4,35.13,646,608,36.02,635.7894736842105,10.48477891464043,16.21925792030511,1
85,42.32,17.23,42.25,621,597,18.55894736842105,621.1578947368421,2.57751364849677,16.02173231684853,1
86,40.35,21.93,40.19,631,596,21.15052631578947,608.421052631579,3.760578374080572,16.61095953303683,1
87,41.27,29.14,41.07,646,606,19.32947368421053,610.578947368421,3.346059828256052,13.72878480287831,1
88,39.01,18.77,38.89,621,588,18.5825,632.2,1.621246677552088,12.51777683305247,1
89,34.99,19.7,34.45,646,608,20.258,658.2,1.440700122199364,16.43039545284416,1
90,35.46,20.51,34.69,671,653,22.69315789473685,678.4736842105264,0.9659138024089988,15.13042711100396,1
91,34.3,24.09,34.47,703,668,23.38526315789474,695.5263157894736,1.05026117609464,11.56320035021366,1
92,32.11,25.4,31.63,693,673,23.652,696.85,1.195031820761095,10.81555896796248,1
93,33.37,25.29,33.61,696,659,26.56368421052632,702.4736842105264,1.632235040694255,18.2646240374137,1
94,30.63,30.98,30.73,703,674,32.80714285714286,719.6666666666666,2.459825487422111,15.09746115521856,1
95,30.79,32.86,30.71,743,724,36.43789473684211,677.578947368421,2.53435851832672,76.13169568398729,1
96,27.3,36.84,26.67,543,539,38.58052631578948,573.8421052631579,2.336242171817835,13.88949706270788,1
97,28.87,36.93,28.77,565,529,38.434,581.1,2.016365672767663,11.97321572247164,1
98,26.2,41.51,25.97,596,554,40.73736842105263,590.0526315789474,2.472836522667088,11.46721744903234,1
99,28.15,37.06,27.75,584,554,41.63000000000001,603.9473684210526,2.943087947490979,19.36053742427428,1
100,24.98,43.75,24.47,621,584,47.10894736842104,608.9473684210526,6.889987820289916,11.27176257640957,1
101,24.54,69.96,24.11,600,579,81.7355,607.95,4.549324385930405,10.57541836922826,1
102,25.77,86.46,25.29,606,574,87.64894736842108,603.0526315789474,0.4753816564595718,16.85715701682993,1
103,27.91,87.34,27.49,540,554,83.91850000000001,571.7,2.334905103447517,17.71440092128436,1
104,29.58,81.52,29.23,550,538,77.22894736842107,545.578947368421,4.724290534316403,16.08420822999892,1
105,31.88,58.56,31.47,550,508,54.26526315789474,542.3157894736842,7.362156514093741,8.433087160958761,1
106,33.31,46.07,32.81,550,508,43.3875,506.95,3.96549708173681,25.419584244395,1
107,35.15,40.4,34.67,534,479,24.3035,486.15,6.12813037084764,25.91742961589241,1
108,40.08,21.3,40.31,453,443,19.92526315789474,466.7894736842105,3.817784943045501,10.14110966626226,1
109,42.28,15.2,42.13,459,438,16.1975,454.25,3.767637644606049,12.01260303093994,1
110,43.02,11.44,42.87,459,442,12.419,454.3,1.072880529965451,8.850215578700539,1
111,42.36,12.26,42.05,443,417,14.24157894736842,434.1052631578947,2.240082496392311,13.18203633249981,1
112,38.78,20.72,38.81,437,428,19.82894736842105,463.4736842105263,2.401929536242924,20.8096356448765,1
113,34.21,22.55,34.37,468,478,20.884,496.1,1.37584959398299,18.67421526569386,1
114,35.71,19.39,35.05,478,474,20.45526315789473,503.3157894736842,0.7652695125905544,19.16029642422913,1
115,33.28,22.29,33.03,525,484,22.16105263157894,521.9473684210526,0.8133394449008232,13.74560004029785,1
116,34.22,22.82,33.19,540,494,26.11105263157895,531.421052631579,2.711819591542971,9.805416810641422,1
117,30.66,32.9,30.17,525,494,33.92526315789473,559.1052631578947,1.940413382134656,16.86183968097492,1
118,27.97,38.83,27.61,584,549,38.58000000000001,585.0,1.756549648221383,12.57422407590668,1
119,28.08,39.33,27.49,590,564,41.4955,597.65,1.215857830158566,13.06371028137831,1
120,26.92,43.09,26.37,621,589,40.9121052631579,616.2105263157895,0.7751815482508208,9.01590537370498,1
121,28.75,38.82,28.75,631,589,38.75947368421053,620.2105263157895,1.830517454723331,7.821472917327734,1
122,26.75,44.13,26.43,615,589,41.82545454545455,616.5454545454545,2.197522985710792,10.78298322695196,1
123,28.2,56.75,27.67,993,954,57.37210526315791,998.2105263157895,0.5399339357465505,13.78638195776471,0
124,27.76,57.73,27.17,981,949,57.68599999999999,986.95,0.4411873930536472,13.21273309309901,0
125,27.61,57.96,26.93,1009,960,55.04949999999998,986.7,5.245095428362727,13.62312275817151,0
126,28.12,50.48,27.47,975,929,46.85157894736842,969.5263157894736,4.40815691286291,16.05327388227029,0
127,28.99,45.81,28.27,984,944,47.6525,987.05,3.741524984618747,26.45646871451489,0
128,28.17,44.41,26.93,959,924,57.44526315789474,970.9473684210526,5.780542427855186,19.54332419185222,0
129,24.59,62.47,24.03,940,900,65.18199999999999,1001.2,3.976378410458175,22.71934024245932,0
130,24.52,76.18,24.03,1031,990,79.63,1006.842105263158,2.591790457922432,13.37187412234574,0
131,26.94,84.04,26.29,993,965,82.28350000000002,1027.65,0.9783190470877785,24.39213635148577,0
132,29.3,80.43,28.75,1009,974,75.35315789473684,996.4736842105264,2.975386160991131,14.84500821845,0
133,31.45,70.79,30.79,984,949,65.64750000000001,991.95,2.8847929324577,15.50712909056925,0
134,33.27,57.58,32.61,959,929,55.72473684210527,957.3157894736842,3.619708963778184,9.098550748937667,0
135,34.34,51.6,33.71,984,929,40.758,946.7,10.90704436784346,40.03958567533675,0
136,41.04,21.86,39.81,993,963,19.64850000000001,998.6,3.777878908543623,25.93737880063479,0
137,39.05,30.34,38.29,931,889,26.2965,943.3,6.24677708481488,47.48528858055879,0
138,45.5,16.89,43.79,993,962,20.99736842105263,989.421052631579,6.189977420624093,13.90170169229366,0
139,43.77,28.49,42.71,1006,967,23.26380952380952,1009.428571428571,5.856430206354792,19.5513974655814,0
140,43.46,16.44,42.35,984,943,28.15947368421052,924.7368421052631,5.455806767599107,28.39374364825063,0
